3222a26c,29.5335,-98.4789,1695389593
3222a26c,29.5335,-98.4789,1695389593
3222a26c,29.5335,-98.4789,1695389593
3222a26c,29.5335,-98.4789,1695389598
3222a26c,29.5335,-98.4789,1695389598
3222a26c,29.5335,-98.4789,1695389598
3222a26c,29.5335,-98.4789,1695389598
3222a26c,29.5335,-98.4789,1695389598
3222a26c,29.5335,-98.4789,1695389598
3222a26c,29.5336,-98.4789,1695389608
3222a26c,29.5336,-98.4789,1695389608
3222a26c,29.5336,-98.4789,1695389608
3222a26c,29.5336,-98.4789,1695389608
3222a26c,29.5336,-98.4789,1695389608
3222a26c,29.5336,-98.4789,1695389608
3222a26c,29.5336,-98.4789,1695389608
3222a26c,29.5336,-98.4789,1695389613
3222a26c,29.5336,-98.4789,1695389613
3222a26c,29.5336,-98.4789,1695389613
3222a26c,29.5335,-98.4789,1695389618
3222a26c,29.5335,-98.4789,1695389618
3222a26c,29.5335,-98.4789,1695389618
3222a26c,29.5335,-98.4789,1695389618
3222a26c,29.5335,-98.4789,1695389624
3222a26c,29.5335,-98.4789,1695389624
3222a26c,29.5335,-98.4789,1695389624
3222a26c,29.5335,-98.4789,1695389624
3222a26c,29.5335,-98.4789,1695389624
3222a26c,29.5335,-98.4789,1695389628
3222a26c,29.5335,-98.4789,1695389628
3222a26c,29.5335,-98.4789,1695389628
3222a26c,29.5335,-98.4789,1695389633
3222a26c,29.5335,-98.4789,1695389633
3222a26c,29.5335,-98.4789,1695389633
3222a26c,29.5335,-98.4789,1695389638
3222a26c,29.5335,-98.4789,1695389638
3222a26c,29.5335,-98.4789,1695389638
3222a26c,29.5335,-98.4789,1695389638
3222a26c,29.5335,-98.4789,1695389644
3222a26c,29.5335,-98.4789,1695389644
3222a26c,29.5335,-98.4789,1695389644
3222a26c,29.5335,-98.4789,1695389644
3222a26c,29.5335,-98.4789,1695389644
3222a26c,29.5335,-98.4789,1695389644
3222a26c,29.5335,-98.4789,1695389644
3222a26c,29.5336,-98.4789,1695389648
3222a26c,29.5336,-98.4789,1695389648
3222a26c,29.5336,-98.4789,1695389648
3222a26c,29.5336,-98.4789,1695389654
3222a26c,29.5336,-98.4789,1695389654
3222a26c,29.5336,-98.4789,1695389654
3222a26c,29.5336,-98.479,1695389658
3222cecb,29.5401,-98.4863,1695389659
3222a26c,29.5336,-98.479,1695389658
3222cecb,29.5401,-98.4863,1695389659
3222a26c,29.5336,-98.479,1695389658
3222cecb,29.5401,-98.4863,1695389659
3222a26c,29.5335,-98.479,1695389664
3222cecb,29.54,-98.4863,1695389664
3222a26c,29.5335,-98.479,1695389664
3222cecb,29.54,-98.4863,1695389664
3222a26c,29.5335,-98.479,1695389664
3222cecb,29.54,-98.4863,1695389664
3222a26c,29.5335,-98.479,1695389664
3222cecb,29.54,-98.4863,1695389664
